"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명"
"3090000","CDFH3301061999000002","19990827","","01","영업/정상","13","영업중","","","","","","","132898","서울특별시 도봉구 창동 13-0번지 유진빌딩 6층 ","서울특별시 도봉구 마들로11길 65 (창동유진빌딩 6층)","","아레나 피트니스","20190220165336","U","2019-02-22 02:40:00.0","","204317.264907404    ","461224.014056627    ","체력단련장업","사립","","0","0","0","","",""
"3090000","CDFH3301062004000003","20040818","","01","영업/정상","13","영업중","","","","","","","132830","서울특별시 도봉구 방학동 283-2번지 미륭프라자 4층 ","서울특별시 도봉구 방학로 196 (방학동 미륭프라자 4층)","132830","에스짐","20180116204251","I","2018-08-31 23:59:59.0","","202616.381133222    ","462212.968816049    ","체력단련장업","사립","0","1","","","","",""
"3090000","CDFH3301062014000005","20140924","","01","영업/정상","13","영업중","","","","","02-988-9679","","132864","서울특별시 도봉구 쌍문동 94-50번지 ","서울특별시 도봉구 도봉로113길 16 (쌍문동)","132864","펀 휘트니스","20180829145152","I","2018-08-31 23:59:59.0","","202866.924353275    ","460663.532515656    ","체력단련장업","사립","","2","","","","",""
"3090000","CDFH3301062012000002","20120614","","01","영업/정상","13","영업중","","","","","999-1332","","132903","서울특별시 도봉구 창동 75-13번지 7층 ","서울특별시 도봉구 노해로65길 10 (창동 7층)","01405","커브스 창동클럽","20120614181218","I","2018-08-31 23:59:59.0","","204044.900953921    ","461047.65567042     ","체력단련장업","사립","","1","","","","",""
"3220000","CDFH3301062000000007","20000706","","03","폐업","03","폐업","20210311","","","","564-9591","","135999","서울특별시 강남구 대치동 941-26 현민빌딩지층","서울특별시 강남구 도곡로 445 (대치동현민빌딩지층)","","BNB(86)","20210312090216","U","2020-12-02 23:04:00.0","","205150.235387088","444050.868016641","","","","","","","","",""
"3090000","CDFH3301062020000001","20200327","","01","영업/정상","13","영업중","","","","","","","","서울특별시 도봉구 쌍문동 257-2번지 동방빌딩 ","서울특별시 도봉구 시루봉로 70 동방빌딩 지1층 (쌍문동)","01429","트렌디바디","20200327151949","I","2020-03-29 00:23:21.0","","202419.96157255     ","461619.242146634    ","체력단련장업","사립","","","","893.4","","",""
"3090000","CDFH3301061999000001","19990705","","03","폐업","03","폐업","20180808","","","","","","132858","서울특별시 도봉구 쌍문동 20-4번지 외2필지 ","서울특별시 도봉구 도당로 6  (쌍문동외2필지)","","명성핼스","20180808100418","I","2018-08-31 23:59:59.0","","203057.119559323    ","461813.462548805    ","체력단련장업","사립","","0","0","0","","",""
"3090000","CDFH3301061999000003","19991018","","03","폐업","03","폐업","20070706","","","","","","132873","서울특별시 도봉구 쌍문동 256-0번지 신원상가 220 221호 ","서울특별시 도봉구 해등로 255  (쌍문동신원상가 220 221호)","","굿모닝헬스","20070710110050","I","2018-08-31 23:59:59.0","","202422.313606872    ","461665.385672458    ","체력단련장업","사립","0","","","","","",""
"3090000","CDFH3301062005000002","20050811","","03","폐업","03","폐업","20070115","","","","","","132919","서울특별시 도봉구 창동 607-27번지 ","서울특별시 도봉구 덕릉로59아길 54  (창동)","","아이파워휘트니스클럽","20070117154724","I","2018-08-31 23:59:59.0","","203413.970430835    ","460092.044522844    ","체력단련장업","사립","0","","","2191.38","","",""
"3090000","CDFH3301062015000004","20150908","","03","폐업","03","폐업","20161107","","","","904-9633","","","","서울특별시 도봉구 덕릉로63가길 61 (창동 창동대우아파트)","01465","대우스포츠센터","20161108085527","I","2018-08-31 23:59:59.0","","203242.968498731    ","460001.081136921    ","체력단련장업","사립","","1","","","","",""
