"행정구역별(읍면동)","연령별",2020,2020,2020
"행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명)
"안산시","10~14세",29215,15096,14119
"안산시","15~19세",36545,18750,17795
"안산시","20~24세",54100,28608,25492
"안산시","25~29세",60614,33476,27138
"상록구","10~14세",15028,7734,7294
"상록구","15~19세",19292,9809,9483
"상록구","20~24세",29441,15455,13986
"상록구","25~29세",30566,16571,13995
"단원구","10~14세",14187,7362,6825
"단원구","15~19세",17253,8941,8312
"단원구","20~24세",24659,13153,11506
"단원구","25~29세",30048,16905,13143
"고양시","10~14세",48005,24636,23369
"고양시","15~19세",51448,26126,25322
"고양시","20~24세",65259,33624,31635
"고양시","25~29세",74686,37820,36866
"덕양구","10~14세",19350,9912,9438
"덕양구","15~19세",20009,10176,9833
"덕양구","20~24세",27159,14246,12913
"덕양구","25~29세",32274,16549,15725
"일산동구","10~14세",13285,6901,6384
"일산동구","15~19세",14862,7538,7324
"일산동구","20~24세",19069,9567,9502
"일산동구","25~29세",22639,11369,11270
"일산서구","10~14세",15370,7823,7547
"일산서구","15~19세",16577,8412,8165
"일산서구","20~24세",19031,9811,9220
"일산서구","25~29세",19773,9902,9871
"과천시","10~14세",2756,1413,1343
"과천시","15~19세",3008,1569,1439
"과천시","20~24세",3809,2031,1778
"과천시","25~29세",3982,2057,1925
"구리시","10~14세",8404,4360,4044
"구리시","15~19세",8909,4527,4382
"구리시","20~24세",12324,6269,6055
"구리시","25~29세",13724,7084,6640
"남양주시","10~14세",38164,19639,18525
"남양주시","15~19세",35900,18309,17591
"남양주시","20~24세",40887,21434,19453
"남양주시","25~29세",40820,21504,19316
"오산시","10~14세",12953,6641,6312
"오산시","15~19세",11764,5926,5838
"오산시","20~24세",13967,7314,6653
"오산시","25~29세",17745,9828,7917
"시흥시","10~14세",24981,12702,12279
"시흥시","15~19세",24649,12865,11784
"시흥시","20~24세",33730,18320,15410
"시흥시","25~29세",40033,22716,17317
"군포시","10~14세",12311,6366,5945
"군포시","15~19세",13327,6844,6483
"군포시","20~24세",17142,8914,8228
"군포시","25~29세",20277,10615,9662
"의왕시","10~14세",6666,3429,3237
"의왕시","15~19세",7935,3944,3991
"의왕시","20~24세",10871,5582,5289
"의왕시","25~29세",11866,6350,5516
"하남시","10~14세",12879,6601,6278
"하남시","15~19세",10529,5348,5181
"하남시","20~24세",13891,7057,6834
"하남시","25~29세",19688,10023,9665
"용인시","10~14세",59099,30330,28769
"용인시","15~19세",59716,30808,28908
"용인시","20~24세",73380,37642,35738
"용인시","25~29세",68523,36720,31803
"처인구","10~14세",12060,6280,5780
"처인구","15~19세",15726,8380,7346
"처인구","20~24세",21116,11243,9873
"처인구","25~29세",19262,11314,7948
"기흥구","10~14세",25013,12836,12177
"기흥구","15~19세",23241,11914,11327
"기흥구","20~24세",29349,15020,14329
"기흥구","25~29세",27446,14520,12926
"수지구","10~14세",22026,11214,10812
"수지구","15~19세",20749,10514,10235
"수지구","20~24세",22915,11379,11536
"수지구","25~29세",21815,10886,10929
"파주시","10~14세",24344,12403,11941
"파주시","15~19세",22915,11798,11117
"파주시","20~24세",24927,13803,11124
"파주시","25~29세",31706,17389,14317
"이천시","10~14세",10636,5489,5147
"이천시","15~19세",12754,6668,6086
"이천시","20~24세",14691,7901,6790
"이천시","25~29세",19197,11458,7739
"안성시","10~14세",8791,4521,4270
"안성시","15~19세",10614,5488,5126
"안성시","20~24세",14380,7727,6653
"안성시","25~29세",14164,8590,5574
"김포시","10~14세",25177,12870,12307
"김포시","15~19세",19798,10001,9797
"김포시","20~24세",22649,12437,10212
"김포시","25~29세",30801,17484,13317
"화성시","10~14세",52160,26551,25609
"화성시","15~19세",41730,21139,20591
"화성시","20~24세",48308,26301,22007
"화성시","25~29세",65594,38522,27072
"광주시","10~14세",16336,8300,8036
"광주시","15~19세",16322,8247,8075
"광주시","20~24세",21858,11951,9907
"광주시","25~29세",25927,14397,11530
"양주시","10~14세",11715,5918,5797
"양주시","15~19세",11575,5954,5621
"양주시","20~24세",13755,7590,6165
"양주시","25~29세",14864,8451,6413
"포천시","10~14세",5512,2900,2612
"포천시","15~19세",6599,3462,3137
"포천시","20~24세",10672,6305,4367
"포천시","25~29세",12640,8349,4291
"여주시","10~14세",4470,2310,2160
"여주시","15~19세",5260,2715,2545
"여주시","20~24세",6712,3570,3142
"여주시","25~29세",6889,4002,2887
"연천군","10~14세",1427,748,679
"연천군","15~19세",1541,827,714
"연천군","20~24세",2268,1468,800
"연천군","25~29세",3091,2056,1035
"가평군","10~14세",2284,1160,1124
"가평군","15~19세",2649,1367,1282
"가평군","20~24세",2806,1587,1219
"가평군","25~29세",3130,1820,1310
"양평군","10~14세",4600,2363,2237
"양평군","15~19세",5072,2752,2320
"양평군","20~24세",4958,2751,2207
"양평군","25~29세",5304,2923,2381
"읍부","10~14세",10189,5306,4883
"읍부","15~19세",12223,6337,5886
"읍부","20~24세",15241,8807,6434
"읍부","25~29세",14173,8607,5566
"면부","10~14세",10800,5505,5295
"면부","15~19세",12342,6640,5702
"면부","20~24세",18599,11430,7169
"면부","25~29세",18331,11382,6949
"동부","10~14세",42330,21917,20413
